{'user': 'Dr. Rajesh Kumar', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:57:48.543035'}
{'user': 'Nurse Priya Sharma', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:57:48.545028'}
{'user': 'Pharmacist Meena Desai', 'resource_id': 103, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:57:48.547021'}
{'user': 'Nurse Priya Sharma', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:04.908883'}
{'user': 'Dr. Rajesh Kumar', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:16.941318'}
{'user': 'Nurse Priya Sharma', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:16.942310'}
{'user': 'Pharmacist Meena Desai', 'resource_id': 103, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:16.943308'}
{'user': 'Admin Suresh Verma', 'resource_id': 105, 'action': 'manage', 'decision': 'DENY', 'reason': 'User is not on active shift', 'timestamp': '2025-02-01T12:59:16.946297'}
{'user': 'Nurse Priya Sharma', 'resource_id': 101, 'action': 'update', 'decision': 'PERMIT', 'reason': 'Break Glass invoked by admin', 'timestamp': '2025-02-01T12:59:22.141889'}
{'user': 'Surgeon Kavita Mehta', 'resource_id': 107, 'action': 'write', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:22.143880'}
{'user': 'Physician Seema Iyer', 'resource_id': 108, 'action': 'read', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T12:59:22.144877'}
{'user': 'Admin Suresh Verma', 'resource_id': 'N/A', 'action': 'audit_logs', 'decision': 'DENY', 'reason': 'User is not on active shift', 'timestamp': '2025-02-01T12:59:22.146919'}
{'user': 'Dr. Rajesh Kumar', 'resource_id': 101, 'action': 'update', 'decision': 'DENY', 'reason': 'Policy evaluation failed', 'timestamp': '2025-02-01T13:01:08.377386'}
